delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials_2.textbox.text,trials_2.button.numClicks,trials_2.button.timesOn,trials_2.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,space,0.8924248330295086,None,400,1,[8.817431125033181],[8.817436665995046],0,0,0,8,0.04191341600380838,,0.033399750012904406,0.04191341600380838,0.9919590000063181,0.9919590000063181,1.0339113750378601,2.323006750026252,space,0.8924248330295086,None,2.3235700000077486,3.024024832706588,3.3462014160468243,3.3133743749931455,3.3164873750065453,3.3462014160468243,3.3462014160468243,3.3462014160468243,12.163962416001596,400,1,[8.817431125033181],[8.817436665995046],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,1000,exp,1,1,0,space,3.2991133329924196,None,100,1,[6.179772583011072],[6.179779333004262],0,1,1,7,12.169398291036487,,12.164252250047866,12.169398291036487,13.158368541044183,13.158368541044183,13.16752058302518,16.461137041042093,space,3.2991133329924196,None,16.463580333045684,16.868205749666473,17.17486737499712,17.15699475002475,17.158114000048954,17.17486737499712,17.17486737499712,17.17486737499712,23.35499154101126,100,1,[6.179772583011072],[6.179779333004262],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,400,unexp,2,2,0,space,0.8273267910117283,None,200,1,[4.009549833019264],[4.009555541037116],0,2,2,1,23.360768540995196,,23.355227833031677,23.360768540995196,24.351298583031166,24.351298583031166,24.358250958030112,25.18595070799347,space,0.8273267910117283,None,25.187627875013277,25.585029999671193,25.891823333047796,25.87360816600267,25.875445625046268,25.891823333047796,25.891823333047796,25.891823333047796,29.901663541037124,200,1,[4.009549833019264],[4.009555541037116],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,1000,exp,3,3,0,space,0.9020507070235908,None,200,1,[7.677366667019669],[7.677372874983121],0,3,3,4,29.906085458002053,,29.90187204099493,29.906085458002053,30.892506666015834,30.892506666015834,30.901130916026887,31.80291908304207,space,0.9020507070235908,None,31.804484083026182,32.208249957712056,32.511239290994126,32.49659295799211,32.49796883302042,32.511239290994126,32.511239290994126,32.511239290994126,40.18889824999496,200,1,[7.677366667019669],[7.677372874983121],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,1000,exp,4,4,0,space,1.1937562490347773,None,100,1,[2.0696541250217706],[2.0696596250054426],0,4,4,6,40.201705540996045,,40.18911208299687,40.201705540996045,41.18453833303647,41.18453833303647,41.190920207998715,42.38674795802217,space,1.1937562490347773,None,42.38787954102736,42.49099349970153,42.79885362501955,42.78081804100657,42.782372916000895,42.79885362501955,42.79885362501955,42.79885362501955,44.868791625020094,100,1,[2.0696541250217706],[2.0696596250054426],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,5,5,0,space,2.559453665977344,None,100,1,[5.7302458340418525],[5.730251375003718],0,5,5,11,44.88467366603436,,44.868995833036024,44.88467366603436,45.8588579579955,45.8588579579955,45.875170916027855,48.420130750047974,space,2.559453665977344,None,48.42153579101432,49.12496799970201,49.43164920801064,49.414268458029255,49.41589658299927,49.43164920801064,49.43164920801064,49.43164920801064,55.16218220803421,100,1,[5.7302458340418525],[5.730251375003718],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,6,6,0,space,0.7381855409475975,None,700,1,[2.321572458022274],[2.3215776670258492],0,6,6,5,55.16747829102678,,55.16241400002036,55.16747829102678,56.15907312504714,56.15907312504714,56.15907312504714,56.903658833005466,space,0.7381855409475975,None,56.90502787503647,57.60842462466486,57.91384441603441,57.89664604101563,57.89830720803002,57.91384441603441,57.91384441603441,57.91384441603441,60.235728041036054,700,1,[2.321572458022274],[2.3215776670258492],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,400,unexp,7,7,0,space,1.4102415410452522,None,400,1,[3.34126750001451],[3.341272542020306],0,7,7,0,60.25164712499827,,60.235920208040625,60.25164712499827,61.22590650001075,61.22590650001075,61.24181179102743,62.64345920801861,space,1.4102415410452522,None,62.64482045802288,62.75215162471092,63.06061037501786,63.04119233303936,63.04299337504199,63.06061037501786,63.06061037501786,63.06061037501786,66.40216208301717,400,1,[3.34126750001451],[3.341272542020306],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,1000,exp,8,8,0,space,1.1759624159894884,None,100,1,[1.6069612500141375],[1.6069669999997132],0,8,8,3,66.40707266604295,,66.4023699160316,66.40707266604295,67.39332112501143,67.39332112501143,67.40188704099273,68.57146237499546,space,1.1759624159894884,None,68.57323345803889,68.67491383268886,68.98081458301749,68.9634500000393,68.9648031660472,68.98081458301749,68.98081458301749,68.98081458301749,70.58807699999306,100,1,[1.6069612500141375],[1.6069669999997132],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,400,unexp,9,9,0,space,1.0318679159972817,None,100,1,[6.325149542011786],[6.325154874997679],0,9,9,2,70.59337104100268,,70.58827458304586,70.59337104100268,71.58534766599769,71.58534766599769,71.5917262500152,72.62030062504346,space,1.0318679159972817,None,72.62181362503907,73.32575791667138,73.63085975003196,73.61463208304485,73.61611483304296,73.63085975003196,73.63085975003196,73.63085975003196,79.95631625002716,100,1,[6.325149542011786],[6.325154874997679],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,1000,exp,10,10,0,space,1.0248472079983912,None,100 ,1,[3.079103208030574],[3.079109833051916],0,10,10,10,79.96873854100704,,79.95652537501883,79.96873854100704,80.95220620802138,80.95220620802138,80.95863295800518,81.98714016599115,space,1.0248472079983912,None,81.98846383299679,82.39208162471574,82.70020741602639,82.68114045803668,82.68293679103954,82.70020741602639,82.70020741602639,82.70020741602639,85.77960929099936,100 ,1,[3.079103208030574],[3.079109833051916],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
