thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.45555555555555555)],[np.float64(-0.48)],[1],[0],[0],[3.7776122499926714],[None],0,0,0,0,0.0996058750024531,,10,0.04525350000767503,0.0996058750024531,0.0996058750024531,0.04527316700841766,3.8229326250002487,[np.float64(0.45555555555555555)],[np.float64(-0.48)],[1],[0],[0],[3.7776122499926714],[None],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
1,0,1,[np.float64(-0.4811111111111111)],[np.float64(-0.3011111111111111)],[1],[0],[0],[5.244066166997072],['target'],1,0,1,0,3.856042333005462,,10,3.843707958003506,3.856042333005462,3.856042333005462,0.020557207986712456,9.087835875005112,[np.float64(-0.4811111111111111)],[np.float64(-0.3011111111111111)],[1],[0],[0],[5.244066166997072],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
2,0,2,[np.float64(0.18777777777777777)],[np.float64(-0.2922222222222222)],[1],[0],[0],[1.804044749995228],['target'],2,0,2,0,9.110700583012658,,5,9.100001458005863,9.110700583012658,9.110700583012658,0.01196008300757967,10.904115458004526,[np.float64(0.18777777777777777)],[np.float64(-0.2922222222222222)],[1],[0],[0],[1.804044749995228],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
3,0,3,[np.float64(-0.09777777777777778)],[np.float64(-0.27555555555555555)],[1],[0],[0],[1.6841071249946253],['target'],3,0,3,0,10.929944292001892,,5,10.919062417000532,10.929944292001892,10.929944292001892,0.01476179200108163,12.603248875006102,[np.float64(-0.09777777777777778)],[np.float64(-0.27555555555555555)],[1],[0],[0],[1.6841071249946253],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
4,0,4,[np.float64(0.21888888888888888)],[np.float64(0.2088888888888889)],[1],[0],[0],[1.9881513330037706],['target'],4,0,4,0,12.645592875007424,,10,12.631011292003677,12.645592875007424,12.645592875007424,0.027556750006624497,14.61921083299967,[np.float64(0.21888888888888888)],[np.float64(0.2088888888888889)],[1],[0],[0],[1.9881513330037706],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
5,0,5,[np.float64(-0.035555555555555556)],[np.float64(-0.38)],[1],[0],[0],[1.9212152079999214],['target'],5,0,5,0,14.642549958007294,,5,14.632207750008092,14.642549958007294,14.642549958007294,0.012824125005863607,16.553515125007834,[np.float64(-0.035555555555555556)],[np.float64(-0.38)],[1],[0],[0],[1.9212152079999214],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
6,0,6,[np.float64(-0.2811111111111111)],[np.float64(0.0811111111111111)],[1],[0],[0],[1.887701499988907],['target'],6,0,6,0,16.59549908300687,,10,16.581776208011433,16.59549908300687,16.59549908300687,0.02803812499041669,18.469527917011874,[np.float64(-0.2811111111111111)],[np.float64(0.0811111111111111)],[1],[0],[0],[1.887701499988907],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
7,0,7,[np.float64(0.3788888888888889)],[np.float64(0.13111111111111112)],[1],[0],[0],[1.5408117080078227],['target'],7,0,7,0,18.488981083006365,,5,18.48008025001036,18.488981083006365,18.488981083006365,0.010382499996921979,20.02097450000292,[np.float64(0.3788888888888889)],[np.float64(0.13111111111111112)],[1],[0],[0],[1.5408117080078227],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
8,0,8,[np.float64(0.19666666666666666)],[np.float64(-0.35888888888888887)],[1],[0],[0],[2.233908915994107],['target'],8,0,8,0,20.04856054201082,,5,20.037220167010673,20.04856054201082,20.04856054201082,0.01604045800922904,22.27120504200866,[np.float64(0.19666666666666666)],[np.float64(-0.35888888888888887)],[1],[0],[0],[2.233908915994107],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
9,0,9,[np.float64(-0.45666666666666667)],[np.float64(-0.25222222222222224)],[1],[0],[0],[2.167812292012968],['target'],9,0,9,0,22.29831783300324,,5,22.286989458007156,22.29831783300324,22.29831783300324,0.01552504200662952,24.45487291700556,[np.float64(-0.45666666666666667)],[np.float64(-0.25222222222222224)],[1],[0],[0],[2.167812292012968],['target'],P1,001,2025-09-30_15h32.06.865,VisualSearch_NupurShah,,2025.1.1,118.8387669796831,2025-09-30 15h32.20.129847 +0530,
