trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,cue_arrow.stopped,target.started,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.009183874994050711,0.016654666978865862,0.016654666978865862,2.9153846250264905,space,2.67708108300576,None,,,,,,,,,,,,,,,,,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
14,valid,left,50,150,1000,0,0,0,z,1,0.31221658299909905,None,0,0,0,13,2.956497417006176,,,,,,,,,2.943117999995593,2.956497417006176,2.956497417006176,2.956497417006176,3.4144665829953738,3.4520832920097746,3.4520832920097746,3.4520832920097746,3.457072750024963,3.5117226670263335,3.6089565419824794,3.927976042032242,z,1,0.31221658299909905,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
84,invalid,left,50,150,1000,1,1,0,m,0,0.10639016597997397,None,0,1,1,83,3.9537825420266017,,,,,,,,,3.9353967920178548,3.9537825420266017,3.9537825420266017,3.9537825420266017,4.427135583013296,4.452826332999393,4.452826332999393,4.452826332999393,4.473738542001229,4.527041708002798,4.636639916978311,4.753667958022561,m,0,0.10639016597997397,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
16,invalid,right,50,150,1000,2,2,0,m,1,0.2657193740014918,None,0,2,2,15,4.766901166993193,,,,,,,,,4.7578145830193534,4.766901166993193,4.766901166993193,4.766901166993193,5.252129417029209,5.2585281250067055,5.2585281250067055,5.2585281250067055,5.291256750002503,5.352004166983534,5.452476583013777,5.724907541996799,m,1,0.2657193740014918,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
88,valid,right,150,150,1000,3,3,0,m,1,0.12763799901586026,None,0,3,3,87,5.739041207998525,,,,,,,,,5.729504792019725,5.739041207998525,5.739041207998525,5.739041207998525,6.218457749986555,6.235205875011161,6.235205875011161,6.235205875011161,6.358456666988786,6.3177260420052335,6.518651999998838,6.653915916976985,m,1,0.12763799901586026,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
80,valid,left,100,150,1000,4,4,0,z,1,0.1516969160293229,None,0,4,4,79,6.668760999978986,,,,,,,,,6.658323624986224,6.668760999978986,6.668760999978986,6.668760999978986,7.151675458007958,7.158440625004005,7.158440625004005,7.158440625004005,7.240248207992408,7.252087000000756,7.4014314580126666,7.559996083029546,z,1,0.1516969160293229,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
58,invalid,left,150,150,1000,5,5,0,z,1,0.10323199996491894,None,0,5,5,57,7.572843166999519,,,,,,,,,7.564525333000347,7.572843166999519,7.572843166999519,7.572843166999519,8.060627250000834,8.067867292033043,8.067867292033043,8.067867292033043,8.208888332999777,8.152602999994997,8.358932083006948,8.470405792002566,z,1,0.10323199996491894,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
22,valid,left,150,150,1000,6,6,0,z,1,0.10747841699048877,None,0,6,6,21,8.486463207984343,,,,,,,,,8.475688916980289,8.486463207984343,8.486463207984343,8.486463207984343,8.968437167000957,8.98517704202095,8.98517704202095,8.98517704202095,9.108161957992706,9.067705957975704,9.267773667001165,9.377120541990735,z,1,0.10747841699048877,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
85,valid,left,50,150,1000,7,7,0,z,1,0.23516845802078024,None,0,7,7,84,9.388964708021376,,,,,,,,,9.378070499980822,9.388964708021376,9.388964708021376,9.388964708021376,9.875650375033729,9.885411750001367,9.885411750001367,9.885411750001367,9.918801208026707,9.976116792007815,10.07489450002322,10.320811500016134,z,1,0.23516845802078024,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
47,invalid,right,150,150,1000,8,8,0,m,1,0.1259920409647748,None,0,8,8,46,10.33213983301539,,,,,,,,,10.321861249976791,10.33213983301539,10.33213983301539,10.33213983301539,10.817890500009526,10.82345362502383,10.82345362502383,10.82345362502383,10.958784291986376,10.918324458005372,11.118183957994916,11.253710541990586,m,1,0.1259920409647748,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
