word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.012583292002091184,0.022791292001784313,1.001446083006158,,,,,,,,,,,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
Blue,blue,C,b,0,0,0,b,1,1.4716783330004546,None,0,0,0,3,1.0195299170009093,,,,,1.0160055000014836,1.0195299170009093,1.4984537920026924,1.4984537920026924,1.4984537920026924,3.172232917000656,b,1,1.4716783330004546,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,blue,I,b,1,1,0,b,1,1.0546906249946915,None,0,1,1,1,3.1829565830048523,,,,,3.176573000004282,3.1829565830048523,3.6734808330002124,3.6734808330002124,3.6734808330002124,4.73545216700586,b,1,1.0546906249946915,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
BLUE,red,I,r,2,2,0,r,1,0.8741087079979479,None,0,2,2,2,4.74477512500016,,,,,4.739884624999831,4.74477512500016,5.231875000004948,5.231875000004948,5.231875000004948,6.107643041999836,r,1,0.8741087079979479,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,red,C,r,3,3,0,r,1,0.6139886249948177,None,0,3,3,0,6.116317292005988,,,,,6.109811250003986,6.116317292005988,6.606148124999891,6.606148124999891,6.606148124999891,7.224759750002704,r,1,0.6139886249948177,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,blue,I,b,4,0,1,b,1,0.4779893750019255,None,1,0,4,1,7.231495708001603,,,,,7.225246583002445,7.231495708001603,7.721994500003348,7.721994500003348,7.721994500003348,8.20220345800044,b,1,0.4779893750019255,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
Blue,blue,C,b,5,1,1,b,1,0.43255470899748616,None,1,1,5,3,8.210654375005106,,,,,8.20463000000018,8.210654375005106,8.698534667004424,8.698534667004424,8.698534667004424,9.135328917000152,b,1,0.43255470899748616,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
BLUE,red,I,r,6,2,1,r,1,0.4901755000028061,None,1,2,6,2,9.143710750002356,,,,,9.13752737500181,9.143710750002356,9.631938541999261,9.631938541999261,9.631938541999261,10.12432550000085,r,1,0.4901755000028061,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,red,C,r,7,3,1,r,1,0.4803507909964537,None,1,3,7,0,10.132418625005812,,,,,10.126502500002971,10.132418625005812,10.622842500000843,10.622842500000843,10.622842500000843,11.10764220800047,r,1,0.4803507909964537,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,red,C,r,8,0,2,r,1,0.5174138750007842,None,2,0,8,0,11.114859749999596,,,,,11.108085874999233,11.114859749999596,11.605716250000114,11.605716250000114,11.605716250000114,12.124483708001208,r,1,0.5174138750007842,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,blue,I,b,9,1,2,b,1,0.37282150000100955,None,2,1,9,1,12.131937083002413,,,,,12.124924250005279,12.131937083002413,12.62239600000612,12.62239600000612,12.62239600000612,13.001978416999918,b,1,0.37282150000100955,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
Blue,blue,C,b,10,2,2,b,1,0.4554277909992379,None,2,2,10,3,13.010198167001363,,,,,13.004229750004015,13.010198167001363,13.498681708006188,13.498681708006188,13.498681708006188,13.958119167000405,b,1,0.4554277909992379,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
BLUE,red,I,r,11,3,2,r,1,0.45628433400270296,None,2,3,11,2,13.982441333006136,,,,,13.960666999999376,13.982441333006136,14.4559233330001,14.4559233330001,14.4559233330001,14.918829375004862,r,1,0.45628433400270296,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,red,C,r,12,0,3,r,1,1.0126108750046114,None,3,0,12,0,14.927095167004154,,,,,14.921046082999965,14.927095167004154,15.415436000002956,15.415436000002956,15.415436000002956,16.43533862500044,r,1,1.0126108750046114,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
RED,blue,I,b,13,1,3,b,1,0.9239664589986205,None,3,1,13,1,16.44164316700335,,,,,16.435775083002227,16.44164316700335,16.932043625005463,16.932043625005463,16.932043625005463,17.85740829200222,b,1,0.9239664589986205,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
BLUE,red,I,r,14,2,3,r,1,1.2248680420016171,None,3,2,14,2,17.865909167005157,,,,,17.85963129200536,17.865909167005157,18.3563342080015,18.3563342080015,18.3563342080015,19.585692042004666,r,1,1.2248680420016171,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
Blue,blue,C,b,15,3,3,b,1,0.5977538750012172,None,3,3,15,3,19.594174458005,,,,,19.58796258300572,19.594174458005,20.082420083002944,20.082420083002944,20.082420083002944,20.685413042003347,b,1,0.5977538750012172,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
BLUE,red,I,r,16,0,4,r,1,0.539986667004996,None,4,0,16,2,20.693709958002728,,,,,20.68762945799972,20.693709958002728,21.182134917005897,21.182134917005897,21.182134917005897,21.724747833002766,r,1,0.539986667004996,None,,,,,P4,001,2025-08-23_18h31.50.321,stroop effect,,2025.1.1,None,2025-08-23 18h32.01.783988 +0530,
