trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,cue_arrow.stopped,target.started,response_key.started,target.stopped,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.00933870900189504,0.017095958988647908,0.017095958988647908,2.808663291973062,space,2.537349666003138,None,,,,,,,,,,,,,,,,,,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
91,invalid,left,50,150,1000,0,0,0,z,1,2.056129123957362,None,0,0,0,90,2.860528583987616,,,,,,,,,2.8433650420047343,2.860528583987616,2.860528583987616,2.860528583987616,3.308553875016514,3.3547991669620387,3.3547991669620387,3.3547991669620387,3.3547991669620387,3.404386958980467,3.504400916979648,4.393392041965853,5.562853167008143,z,1,2.056129123957362,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
12,invalid,right,50,150,1000,1,1,0,m,1,1.512927458039485,None,0,1,1,11,5.580236834008247,,,,,,,,,5.571154334000312,5.580236834008247,5.580236834008247,5.580236834008247,6.062484791968018,6.076922083972022,6.076922083972022,6.076922083972022,6.109626958961599,6.161329999973532,6.260371666983701,7.160121666966006,7.7793654589913785,m,1,1.512927458039485,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
37,valid,left,100,150,1000,2,2,0,z,1,1.381647166039329,None,0,2,2,36,7.790452333982103,,,,,,,,,7.78029870899627,7.790452333982103,7.790452333982103,7.790452333982103,8.278672249987721,8.28795591701055,8.28795591701055,8.28795591701055,8.37788887496572,8.37788887496572,8.526929749990813,9.371451749990229,9.91252962499857,z,1,1.381647166039329,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
63,invalid,left,100,150,1000,3,3,0,z,1,1.5580025829840451,None,0,3,3,62,9.925266709004063,,,,,,,,,9.916886916966178,9.925266709004063,9.925266709004063,9.925266709004063,10.412866166967433,10.420967500016559,10.420967500016559,10.420967500016559,10.511448999983259,10.511448999983259,10.661538375017699,11.50490458396962,12.22306958399713,z,1,1.5580025829840451,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
35,valid,right,100,150,1000,4,4,0,m,1,0.6239487910061143,None,0,4,4,34,12.23408445896348,,,,,,,,,12.22414129198296,12.23408445896348,12.23408445896348,12.23408445896348,12.721302249992732,12.726501791970804,12.726501791970804,12.726501791970804,12.810046667000279,12.821527166990563,12.971456791972741,,13.606443666969426,m,1,0.6239487910061143,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
36,invalid,left,100,150,1000,5,5,0,z,1,0.6677410409902222,None,0,5,5,35,13.617873499984853,,,,,,,,,13.607628875004593,13.617873499984853,13.617873499984853,13.617873499984853,14.104610083973967,14.110642916988581,14.110642916988581,14.110642916988581,14.193842875014525,14.204578541975934,14.35461270896485,,15.029606333991978,z,1,0.6677410409902222,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
2,valid,right,150,150,1000,6,6,0,m,1,0.8234368329867721,None,0,6,6,1,15.040777791989967,,,,,,,,,15.030567042005714,15.040777791989967,15.040777791989967,15.040777791989967,15.52815416699741,15.537959625013173,15.537959625013173,15.537959625013173,15.671744916995522,15.629142291960306,15.827113292005379,16.627000709006097,16.656627499964088,m,1,0.8234368329867721,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
44,invalid,left,50,150,1000,7,7,0,z,1,1.289668373996392,None,0,7,7,43,16.668548042012844,,,,,,,,,16.657813291996717,16.668548042012844,16.668548042012844,16.668548042012844,17.15488008398097,17.161150166997686,17.161150166997686,17.161150166997686,17.192875374981668,17.255070917017292,17.354616249969695,18.24415774998488,18.656927292002365,z,1,1.289668373996392,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
1,invalid,left,150,150,1000,8,8,0,z,1,0.5485794990090653,None,0,8,8,0,18.668231084011495,,,,,,,,,18.657903584011365,18.668231084011495,18.668231084011495,18.668231084011495,19.15456420899136,19.160596499976236,19.160596499976236,19.160596499976236,19.293856500007678,19.254751792002935,19.454888249980286,,20.006381209008396,z,1,0.5485794990090653,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
87,invalid,left,150,150,1000,9,9,0,z,1,0.4373478329507634,None,0,9,9,86,20.017931166978087,,,,,,,,,20.007310000015423,20.017931166978087,20.017931166978087,20.017931166978087,20.50476295896806,20.511233958997764,20.511233958997764,20.511233958997764,20.643689042015467,20.604451333987527,20.805027666967362,,21.24525758397067,z,1,0.4373478329507634,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
24,valid,left,150,150,1000,10,10,0,z,1,1.1062272500130348,None,0,10,10,23,21.25725612498354,,,,,,,,,21.249292541993782,21.25725612498354,21.25725612498354,21.25725612498354,21.737864749971777,21.755191958975047,21.755191958975047,21.755191958975047,21.877183375007007,21.83804349997081,22.04433349997271,22.827032750006765,23.156890292011667,z,1,1.1062272500130348,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
79,invalid,left,150,150,1000,11,11,0,z,1,1.7710880410159007,None,0,11,11,78,23.171009375015274,,,,,,,,,23.16135949996533,23.171009375015274,23.171009375015274,23.171009375015274,23.654714333999436,23.660253375011962,23.660253375011962,23.660253375011962,23.793760833970737,23.754847917007282,23.955268666963093,24.7435623339843,25.728824291960336,z,1,1.7710880410159007,None,P5,001,2025-11-18_14h03.11.681,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 14h03.27.455416 +0530,
