thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,2,down,1,1.0425138330028858,None,0,0,0,0,0.05426562498905696,,0.0237783749907976,0.05426562498905696,1.0203699579869863,1.04774945799727,2.4570297499885783,2,down,1,1.0425138330028858,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
1,0,1,0,down,0,1.2012700410123216,None,1,0,1,0,2.6016306669916958,,2.457245249999687,2.6016306669916958,3.4505399579938967,3.5995773329923395,4.661307416987256,0,down,0,1.2012700410123216,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
2,0,2,-2,down,1,1.2558803749998333,None,2,0,2,0,4.688540916991769,,4.661845124996034,4.688540916991769,5.659042374987621,5.681664166986593,6.917460832992219,-2,down,1,1.2558803749998333,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
3,0,3,0,up,1,1.1781486669933656,None,3,0,3,0,6.9285907079902245,,6.91803549999895,6.9285907079902245,7.917723374994239,7.925926582989632,9.100515624988475,0,up,1,1.1781486669933656,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
4,0,4,-2,down,1,0.9597561660048086,None,4,0,4,0,9.125993707988528,,9.101046707990463,9.125993707988528,10.092005041995435,10.116487541992683,11.061505207995651,-2,down,1,0.9597561660048086,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
5,0,5,1,down,1,0.8284363749990007,None,5,0,5,0,11.071439207997173,,11.062171291996492,11.071439207997173,12.059403582999948,12.066051166999387,12.895028291997733,1,down,1,0.8284363749990007,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
6,0,6,-4,down,1,0.8639520840079058,None,6,0,6,0,12.90675383299822,,12.895681791997049,12.90675383299822,13.892071750000468,13.89857987499272,14.76190712499374,-4,down,1,0.8639520840079058,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
7,0,7,0,up,1,0.82705445800093,None,7,0,7,0,14.774729999990086,,14.762590999991517,14.774729999990086,15.758767874998739,15.765366416992038,16.59472699998878,0,up,1,0.82705445800093,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
8,0,8,0,up,1,0.9149665000004461,None,8,0,8,0,16.605825416991138,,16.595200124997064,16.605825416991138,17.592962624999927,17.599580874986714,18.511462582988315,0,up,1,0.9149665000004461,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
9,0,9,4,down,1,0.5492064170102822,None,9,0,9,0,18.5226834579953,,18.512070624987246,18.5226834579953,19.508821166993584,19.515915416995995,20.06171408299997,4,down,1,0.5492064170102822,None,PARTICIPANT 1,001,2025-09-09_12h23.23.216,Orientation discrimination task_measures of signal detection,,2025.1.1,121.08217288692461,2025-09-09 12h23.40.454752 +0530,
