study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1.12,2.7504140000091866,,,,,,,,,,,,0,0,0,0,,,,,0.04648091600392945,,0.022858832991914824,0.04648091600392945,0.04648091600392945,2.7825427500065416,1.12,2.7504140000091866,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
board,1,1,0,1.12,0.5760125829838216,,,,,,,,,,,,0,1,1,4,,,,,2.7965602499898523,,2.7868285829899833,2.7965602499898523,2.7965602499898523,3.3714332910021767,1.12,0.5760125829838216,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
phone,2,2,0,1.12,1.1470657080062665,,,,,,,,,,,,0,2,2,2,,,,,3.384743458009325,,3.3759434160019737,3.384743458009325,3.384743458009325,4.532212124991929,1.12,1.1470657080062665,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Pastry,3,3,0,1.12,0.919515790999867,,,,,,,,,,,,0,3,3,9,,,,,4.545941165997647,,4.536291625001468,4.545941165997647,4.545941165997647,5.465230375004467,1.12,0.919515790999867,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
cushion,4,4,0,1.1244444444444444,0.57232620799914,,,,,,,,,,,,0,4,4,1,,,,,5.478033791005146,,5.467777332989499,5.478033791005146,5.478033791005146,6.049183750001248,1.1244444444444444,0.57232620799914,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Police,5,5,0,1.1244444444444444,0.5047970419982448,,,,,,,,,,,,0,5,5,12,,,,,6.0613782909931615,,6.051413333014352,6.0613782909931615,6.0613782909931615,6.565440415986814,1.1244444444444444,0.5047970419982448,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Chart,6,6,0,1.1244444444444444,0.5622890419908799,,,,,,,,,,,,0,6,6,6,,,,,6.577965583011974,,6.5676231250108685,6.577965583011974,6.577965583011974,7.145924624986947,1.1244444444444444,0.5622890419908799,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Cruise,7,7,0,1.1244444444444444,0.6651946250058245,,,,,,,,,,,,0,7,7,11,,,,,7.15679095798987,,7.1481109999876935,7.15679095798987,7.15679095798987,7.8288620410021394,1.1244444444444444,0.6651946250058245,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
mouse,8,8,0,1.1244444444444444,0.5987717499956489,,,,,,,,,,,,0,8,8,8,,,,,7.839888165995944,,7.831075374997454,7.839888165995944,7.839888165995944,8.438076082995394,1.1244444444444444,0.5987717499956489,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
T-shirt,9,9,0,1.1244444444444444,0.6310489170136862,,,,,,,,,,,,0,9,9,7,,,,,8.449562082998455,,8.441673082998022,8.449562082998455,8.449562082998455,9.081993333005812,1.1244444444444444,0.6310489170136862,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Case,10,10,0,1.1244444444444444,0.5885152920091059,,,,,,,,,,,,0,10,10,10,,,,,9.094704999995884,,9.084185540996259,9.094704999995884,9.094704999995884,9.681831374997273,1.1244444444444444,0.5885152920091059,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
marble,11,11,0,1.1244444444444444,0.7539130410004873,,,,,,,,,,,,0,11,11,3,,,,,9.694670291006332,,9.684037083003204,9.694670291006332,9.694670291006332,10.447224875009852,1.1244444444444444,0.7539130410004873,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Poster,12,12,0,1.1422222222222222,0.9565442499879282,,,,,,,,,,,,0,12,12,14,,,,,10.458741000009468,,10.449473957996815,10.458741000009468,10.458741000009468,11.415269374992931,1.1422222222222222,0.9565442499879282,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Laptop,13,13,0,1.1466666666666667,0.6367407090147026,,,,,,,,,,,,0,13,13,5,,,,,11.428099040989764,,11.418406290991697,11.428099040989764,11.428099040989764,12.079107958008535,1.1466666666666667,0.6367407090147026,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
Keys ,14,14,0,1.1466666666666667,0.5498998750117607,,,,,,,,,,,,0,14,14,13,,,,,12.09555925001041,,12.0822504159878,12.09555925001041,12.09555925001041,12.640673415997298,1.1466666666666667,0.5498998750117607,,,,,,,,,,,,,,,Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
,0,0,0,,,ta_l_,Table,new,table,[np.float64(-0.0033333333333333335)],[np.float64(-0.3111111111111111)],[1],[0],[0],[3.6376921249902807],['text_3'],,,,,0,0,0,15,12.662977750005666,,,,,,,,12.650782290991629,12.662977750005666,12.662977750005666,12.662977750005666,0.010110208007972687,16.28867187499418,table,[np.float64(-0.0033333333333333335)],[np.float64(-0.3111111111111111)],[1],[0],[0],[3.6376921249902807],['text_3'],Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
,1,1,0,,,_o_rd,Board,old,chord,[np.float64(-0.0077777777777777776)],[np.float64(-0.32222222222222224)],[1],[0],[0],[6.771775000001071],['text_3'],,,,,0,1,1,10,16.301852166012395,,,,,,,,16.29142866600887,16.301852166012395,16.301852166012395,16.301852166012395,0.0025875420251395553,23.063428958004806,chord,[np.float64(-0.0077777777777777776)],[np.float64(-0.32222222222222224)],[1],[0],[0],[6.771775000001071],['text_3'],Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
,2,2,0,,,c_s_io_,Cushion,old,cushion,[np.float64(0.03777777777777778)],[np.float64(-0.29)],[1],[0],[0],[5.1556095000123605],['text_3'],,,,,0,2,2,14,23.077749207994202,,,,,,,,23.06594829101232,23.077749207994202,23.077749207994202,23.077749207994202,0.002394000010099262,28.221766208007466,cushion,[np.float64(0.03777777777777778)],[np.float64(-0.29)],[1],[0],[0],[5.1556095000123605],['text_3'],Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
,3,3,0,,,T_hi_t,Tshirt,old,tshirt,[np.float64(0.04111111111111111)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.365265792002901],['text_3'],,,,,0,3,3,2,28.23402974999044,,,,,,,,28.224250250001205,28.23402974999044,28.23402974999044,28.23402974999044,0.0023848339915275574,32.589726875012275,tshirt,[np.float64(0.04111111111111111)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.365265792002901],['text_3'],Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
,4,4,0,,,bo_t_e,Bottle,new,bottle,[np.float64(0.034444444444444444)],[np.float64(-0.30444444444444446)],[1],[0],[0],[4.194909416983137],['text_3'],,,,,0,4,4,18,32.60319554101443,,,,,,,,32.592245790991,32.60319554101443,32.60319554101443,32.60319554101443,0.002408207976259291,36.78738370799692,bottle,[np.float64(0.034444444444444444)],[np.float64(-0.30444444444444446)],[1],[0],[0],[4.194909416983137],['text_3'],Participant3,001,2025-10-16_10h55.27.897,WordPriming_NupurShah,,2025.1.1,119.90695222243191,2025-10-16 10h55.46.836076 +0530,
